蓉蓉子(00:00:00): 练功回来？
六六(01:37:15): 我还有两个问题，就是我最早先说我的问题吧，就是你我来拆一拆哈，你看就是一开始是卖训练营嘛，然后但是我发现深度链接会对后续不管是做产品转化还是说跟这个人的链接会更深，然后以及我发现只做训练营其实没有解决，我就是我的产品当时设计上有一个 bug。是他没有他只他心力打开了，但是他没有工具，他工具打开了他心力支持不上，所以当时我只是想到支持心力了，然后工具上我发现他们就是一通瞎聊，就没有章法的瞎聊，所以我就把。

六六(01:37:55): 当时你不还说我吗，就我给安娜做咨询，后来我不是给她做了一个销售话术 SOP 给她用嘛，但是当时没有讲解，只是给她，然后你还说这500块钱就是做1小时咨询，你还给她这么多东西，后来我就想就是他们也没有东西嘛，就没有 SOP 嘛，然后我就把。

六六(01:38:16): 他们真正遇到的客户场景和销售 sop 梳理出来，就是先在开营之前做1v1的那个心力的，就是用教练去看他心力层面的事情，和把那个销售话术给他们讲讲一遍。然后跟注意的点跟他现在没有做到的点，就需要后续强化的，就这部分交付算不算重，还是说因为。我是觉得他们是需要的，我又不知道站在用户的视角，这到底怎么拆这个事。

蓉蓉子(01:38:50): 都在训练营里对不对，训练你你当时有这部分的交付范围里有这部分吗？

六六(01:39:00): 我999的时候好像我权益里面。我没写。

蓉蓉子(01:39:09): 如果要交付的话，可以作为加餐部分。加餐什么，就是加餐这种模板的这种试加餐，比如说销售的，我给你一个标准的话术再好一点哈，我给你直接做一个不是做哈，就是我直接有一个销售的打比方哈销售的一个 skill 我直接给我们所有的这个学员，但是有前提就跟我之前要给大家做好的那个 skill 一样，让大家给你写复盘，发个朋友圈，就这样的话是相对平等的就是你可以给大家多给这个叫多给逻辑。你多给的时候，对方也要为你做一点小小的一点事情，说你真的听完有收获 OK 你分享一下，然后把六六的海报带上。

蓉蓉子(01:40:00): 然后在群里面艾特你一下，然后这个加餐部分你就是给那些特别真心的用户给他们送，就是拿着他们给你的这个截图，不然的话白给的大家都不会去珍惜的。就算你做的无比好，比如说我做的那个内容的就确实很好用，有些人真的用进去以后他就会发现很好用，但是如果你白给他，也不会觉得有多多好多牛。所以给大家做一个叫价值互换。

六六(01:40:29): 回头这个 skill 我还来找你共创一下。

蓉蓉子(01:40:39): 可以，然后你也比较工作流比较成熟了，我们就基于你的工作流，直接做这个 skill 的沉淀，再做一个修复的 skill。

六六(01:40:47): 那交付算重吗？

蓉蓉子(01:40:51): 销售交付这部分是不是你你你自己评估一下是不是还好，就是最好给你已经有的东西？

六六(01:41:02): 不前面就赠送给大家，就是去做梳理，就是本来只是心理上的梳理，但是我发现心理。

蓉蓉子(01:41:09): 1v1咨询？

六六(01:41:13): 对。就因为我现在可能更阶段更初级嘛，跟你比起来，所以我可能现阶段需要先跟大大家有一个深度的链接，然后所以我需要就是真正的看到那个需求。

蓉蓉子(01:41:17): 你自己感觉？

六六(01:41:35): 所以我觉得可能两方面吧，一方面是给他们帮助，另一方面是对我对真实的客户也是有感知，在这个过程当中。

蓉蓉子(01:41:44): 对就是作为前期我们了解客户是一种非常好的方式就是1v1。所以这个作为前期的这个叫诊断部分，我认为是 OK 的，只是你后面持续要不断延续。这种交付的话，你可以把前面做的再轻一点，就是把我们要咨询的一些东西或者要聊的一些东西，让大家以问卷的形式填上来，你就大概了解了。

六六(01:42:15): 我这次其实也是这么干的，所以诊断部分可快了诊断跟差不多，我这个时间分配就是40分钟诊断加心理支持，然后40分钟讲 SOP。

蓉蓉子(01:42:18): 对。你说1v 一对吗？对你给的大家已经超值交付了对，因为1v1价值已经很大了，对后面就是根据你的实际情况来。

六六(01:42:31): 行。还有我的第一个问题就是今天咱俩做私教。第一个问题就是我之前问过你，你当时你不是说已经有的客户你都不想成交他了吗？然后所以我就想问你你在销售当中的那个心态，因为其实有的时候比如说我去有一些产品做销售的时候还是很想说，当时就做转化嘛说，但是当时你说就有的人我已经不想。就爱买不买，然后你当时我忘了那话咋说的就是我忘了那句话怎么说的，反正你传递出来这样的一个精神，所以我就也很想问，就比如说你从能断金刚业力管理跟沉浮实验这些。

六六(01:43:36): 书里面获得了什么，你在销售当中的心法。

蓉蓉子(01:43:45): 就你会发现，尤其做深度服务，你最最重要的还不是就是能力的支持是基础，别人买你一定是因为你有价值，你有解决方案才会买你这个叫解决方案层面，但是你会发现，如果你真的要深度支持一个人的话，你会更多的，你也会从对方的能量心力，包括你的能量心力，给予支持，东西是无价的，我认为是无价的。对就是方法有迹可循，就是可能大部分人也在做方法层面的，我给你把方法讲了你你实不实现那是你的事，这个叫方法层面就是，但我觉得深度知识你一定会涉及到更深层次的连接的时候再重一点，确实会有一点一点的叫。

蓉蓉子(01:44:35): 这个业力的部分，对有些人我觉得可能不适合的点是这个钱有些钱没有必要赚，就是因为他会给你带来更多的。除钱以外的这个部分，因为我自己做私教我是想要从这个叫方法到底层可能都想支持，这个也是对客户负责任哈，也是我自己想要去深度连接的一个发心，如果为了赚点钱，那我觉得好像这个钱我没必要赚。

六六(01:44:54): 纠缠。

蓉蓉子(01:45:16): 我也不差这点钱嘛，对吗？所以才会有，当然这个也是我做我自己有过这个有过，我觉得是有过拉扯和阶段的，有过这个阶段的就是你说这个钱。想赚吗？那当然想赚，一开始你就觉得也很好，我觉得也可以赚，但你在过程里面你就会发现，这个钱好像赚的太辛苦了。

蓉蓉子(01:45:43): 不如不赚这个就是你看林子到最后的时候才也提了，同样的是因为他一定走过了这个过程。对就是这个叫说到后面又是这个分寸和边界嘛，那别人有些人觉得花花钱买你的服务，你就是乙方，你就是服务者，你就是要随时待命服务！

蓉蓉子(01:46:09): 这个就是你说双双双向的一个过程，有些人就是我花钱了。

六六(01:46:16): 看我的表情。

蓉蓉子(01:46:17): 对所以其实就是所谓的筛选嘛，你筛选也是要从对方的他的一个阶段，他的一个状态来看的。是，所以我觉得要多筛选，懂得感恩的客户对你不是不能给哈，可以多给对，就是我认为哈，我们的这个圈子里面其实是个很好的圈子，大家不是不愿意多给的人。

六六(01:46:33): 确实，你说的我又有话题了。

蓉蓉子(01:46:48): 是愿意多给的，但是你多给出去，其实这是一个正向的，要循环的一个部分的，然后后面就是你自己会很耗很那个叫消耗，因为你不断在给你没有回来的东西的时候，你就会发现你的意义难道真的是为了赚点钱吗？要多找像你这样的客户。

六六(01:47:19): 谢谢蓉子！

蓉蓉子(01:47:20): 好，我们今天我觉得值得纪念一下哈，我今天小小的合个影吧。

六六(01:47:27): 我发现我每次摄像头都是往下看。

蓉蓉子(01:47:31): 没事美的，那我再拍一张，稍等。六六可以接下来可以去寻找你的天使客户了，天使私教客户好选。

六六(01:47:51): 天使客户。其实我已经有意向了，但是我感觉有点被被刺了，就是那天尤利不是报喜吗？

蓉蓉子(01:48:02): 有印象了吗？

六六(01:48:10): 我们你把关了，咱俩说。

蓉蓉子(01:48:11): 我把录屏好好好，咱俩私下。
